opponent,seed,variant,board_id,repeat,swapped,seat,result,score,turns,height,width,boards_archive_sha256,base_grid_sha256,played_grid_sha256
amin,83000,v6,0,0,0,0,win,1.0,383,21,18,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,1527fe93270a9a0531667ae8c51cfe9cd99fac38f8a4a3aa2f4a1b904f37ef49,1527fe93270a9a0531667ae8c51cfe9cd99fac38f8a4a3aa2f4a1b904f37ef49
amin,83000,v6,0,0,0,1,loss,0.0,370,21,18,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,1527fe93270a9a0531667ae8c51cfe9cd99fac38f8a4a3aa2f4a1b904f37ef49,1527fe93270a9a0531667ae8c51cfe9cd99fac38f8a4a3aa2f4a1b904f37ef49
amin,83000,v6,0,0,1,0,loss,0.0,370,21,18,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,1527fe93270a9a0531667ae8c51cfe9cd99fac38f8a4a3aa2f4a1b904f37ef49,67f047b238765493a3447ade596540a3ef19ef10fe7f423e24ec04f4562118b0
amin,83000,v6,0,0,1,1,win,1.0,383,21,18,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,1527fe93270a9a0531667ae8c51cfe9cd99fac38f8a4a3aa2f4a1b904f37ef49,67f047b238765493a3447ade596540a3ef19ef10fe7f423e24ec04f4562118b0
amin,83000,v6,1,0,0,0,win,1.0,135,18,21,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,375c739a124be2ab6473c7584a25ec9a2f6b2f1accc5814a85721a6c9c14b5c8,375c739a124be2ab6473c7584a25ec9a2f6b2f1accc5814a85721a6c9c14b5c8
amin,83000,v6,1,0,0,1,draw,0.5,1200,18,21,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,375c739a124be2ab6473c7584a25ec9a2f6b2f1accc5814a85721a6c9c14b5c8,375c739a124be2ab6473c7584a25ec9a2f6b2f1accc5814a85721a6c9c14b5c8
amin,83000,v6,1,0,1,0,draw,0.5,1200,18,21,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,375c739a124be2ab6473c7584a25ec9a2f6b2f1accc5814a85721a6c9c14b5c8,83c020dc0e40077f07dfab19ee131a22108c956e30724c243802886f4f18bc88
amin,83000,v6,1,0,1,1,win,1.0,135,18,21,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,375c739a124be2ab6473c7584a25ec9a2f6b2f1accc5814a85721a6c9c14b5c8,83c020dc0e40077f07dfab19ee131a22108c956e30724c243802886f4f18bc88
amin,83000,v6,2,0,0,0,loss,0.0,270,19,18,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,5cbfe9e167b6f9c5b2bce16348752a32acd9f6930ee6a29f3138b94a85825457,5cbfe9e167b6f9c5b2bce16348752a32acd9f6930ee6a29f3138b94a85825457
amin,83000,v6,2,0,0,1,win,1.0,1073,19,18,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,5cbfe9e167b6f9c5b2bce16348752a32acd9f6930ee6a29f3138b94a85825457,5cbfe9e167b6f9c5b2bce16348752a32acd9f6930ee6a29f3138b94a85825457
amin,83000,v6,2,0,1,0,win,1.0,1073,19,18,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,5cbfe9e167b6f9c5b2bce16348752a32acd9f6930ee6a29f3138b94a85825457,04c7960717b7f6f4245ec1b3435339b7cc1a4b01e9c31bb843180e984d3b47f1
amin,83000,v6,2,0,1,1,loss,0.0,270,19,18,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,5cbfe9e167b6f9c5b2bce16348752a32acd9f6930ee6a29f3138b94a85825457,04c7960717b7f6f4245ec1b3435339b7cc1a4b01e9c31bb843180e984d3b47f1
amin,83000,v6,3,0,0,0,loss,0.0,118,20,19,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,82fc77e5c91db620419b5ae4e404bab1e0c119f22fbc47fd85890f0d524ece56,82fc77e5c91db620419b5ae4e404bab1e0c119f22fbc47fd85890f0d524ece56
amin,83000,v6,3,0,0,1,loss,0.0,546,20,19,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,82fc77e5c91db620419b5ae4e404bab1e0c119f22fbc47fd85890f0d524ece56,82fc77e5c91db620419b5ae4e404bab1e0c119f22fbc47fd85890f0d524ece56
amin,83000,v6,3,0,1,0,loss,0.0,546,20,19,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,82fc77e5c91db620419b5ae4e404bab1e0c119f22fbc47fd85890f0d524ece56,0acb302ebfe4379c1b8e21675e2b0dd4b8614eb78a2b4ce4200815f6eebffe26
amin,83000,v6,3,0,1,1,loss,0.0,118,20,19,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,82fc77e5c91db620419b5ae4e404bab1e0c119f22fbc47fd85890f0d524ece56,0acb302ebfe4379c1b8e21675e2b0dd4b8614eb78a2b4ce4200815f6eebffe26
amin,83000,v6,4,0,0,0,win,1.0,614,19,18,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,1a2f08f005c22015d712f798c092540eae57f7536c2fa3b7f1f6719cc42cf887,1a2f08f005c22015d712f798c092540eae57f7536c2fa3b7f1f6719cc42cf887
amin,83000,v6,4,0,0,1,loss,0.0,987,19,18,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,1a2f08f005c22015d712f798c092540eae57f7536c2fa3b7f1f6719cc42cf887,1a2f08f005c22015d712f798c092540eae57f7536c2fa3b7f1f6719cc42cf887
amin,83000,v6,4,0,1,0,loss,0.0,987,19,18,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,1a2f08f005c22015d712f798c092540eae57f7536c2fa3b7f1f6719cc42cf887,040fea484c624f5e114d8ea5f4e2dd96eb1f6d7fb18f298e818a0d3bb5d82e53
